text,label
Illegal Parking Blocked Crosswalk Street/Sidewalk 90 AVENUE 90 AVENUE,UNSAFE_CROSSWALK
Traffic Drag Racing Street/Sidewalk 99-32 64 AVENUE 64 AVENUE,SPEEDING
Illegal Parking Blocked Crosswalk Street/Sidewalk 1470 EAST 23 STREET EAST 23 STREET,UNSAFE_CROSSWALK
Traffic Chronic Stoplight Violation Street/Sidewalk RIVERSIDE DRIVE RIVERSIDE DRIVE,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 76-18 JAMAICA AVENUE JAMAICA AVENUE,UNSAFE_CROSSWALK
Street Sign - Dangling Other/Unknown Street 88-02 VAN WYCK EXPRESSWAY VAN WYCK EXPRESSWAY,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 122 DOSCHER STREET DOSCHER STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 99-02 97 STREET 97 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 945 EAST 26 STREET EAST 26 STREET,UNSAFE_CROSSWALK
Street Light Condition Street Light Out   ,POOR_LIGHTING
Traffic Drag Racing Street/Sidewalk 79-25 150 STREET 150 STREET,SPEEDING
Street Light Condition Street Light Out  PROSPECT PARK PROSPECT PARK,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 2907 KINGSBRIDGE TERRACE KINGSBRIDGE TERRACE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 36 AVENUE 36 AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 3115 EMMONS AVENUE EMMONS AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 42-20 24 STREET 24 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 86 HERBERT STREET HERBERT STREET,UNSAFE_CROSSWALK
Traffic Congestion/Gridlock Street/Sidewalk WEST 42 STREET WEST 42 STREET,OTHER
Illegal Parking Blocked Crosswalk Street/Sidewalk 150 WEST 65 STREET WEST 65 STREET,UNSAFE_CROSSWALK
Street Light Condition Fixture/Luminaire Out Of Position  376 WYTHE AVENUE WYTHE AVENUE,POOR_LIGHTING
Traffic Signal Condition Controller   ,MISSING_SIGNAGE
Street Light Condition Street Light Out  660 RIVERSIDE DRIVE RIVERSIDE DRIVE,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 119 70 STREET 70 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 30-04 47 STREET 47 STREET,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  82-15 BELL BOULEVARD BELL BOULEVARD,POOR_LIGHTING
Street Light Condition Street Light Out  1450 49 STREET 49 STREET,POOR_LIGHTING
Traffic Signal Condition Pedestrian Signal   ,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  103-005 DICKENS AVENUE DICKENS AVENUE,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 36-11 215 PLACE 215 PLACE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 7820 NEW UTRECHT AVENUE NEW UTRECHT AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 30-01 42 STREET 42 STREET,UNSAFE_CROSSWALK
Traffic Congestion/Gridlock Highway  ,OTHER
Street Light Condition Street Light Out  H HUDSON PKWY H HUDSON PKWY,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 3200 PHILIP AVENUE PHILIP AVENUE,UNSAFE_CROSSWALK
Street Sign - Damaged Other/Unknown Street 96-02 50 AVENUE 50 AVENUE,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 3569 BROADWAY BROADWAY,UNSAFE_CROSSWALK
Traffic Chronic Speeding Street/Sidewalk 78-15 PARSONS BOULEVARD PARSONS BOULEVARD,SPEEDING
Illegal Parking Blocked Crosswalk Street/Sidewalk 23-38 31 STREET 31 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 56 AVENUE 56 AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk DEAN STREET DEAN STREET,UNSAFE_CROSSWALK
Traffic Signal Condition Ped Lamp   ,MISSING_SIGNAGE
Street Light Condition Lamppost Leaning  BAY   40 STREET BAY   40 STREET,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 103-26 ALSTYNE AVENUE ALSTYNE AVENUE,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  158-51 78 STREET 78 STREET,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 440 WEST 53 STREET WEST 53 STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 522 6 AVENUE 6 AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 3515 BROADWAY BROADWAY,UNSAFE_CROSSWALK
Traffic Drag Racing Street/Sidewalk 82 AVENUE 82 AVENUE,SPEEDING
Illegal Parking Blocked Crosswalk Street/Sidewalk 21 COMMERCIAL STREET COMMERCIAL STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 1188 GRAVESEND NECK ROAD GRAVESEND NECK ROAD,UNSAFE_CROSSWALK
Street Sign - Damaged Bus Stop Street EAST 86 STREET EAST 86 STREET,MISSING_SIGNAGE
Street Light Condition Lamppost Base Door/Cover Open  580 LORIMER STREET LORIMER STREET,POOR_LIGHTING
Illegal Parking Blocked Crosswalk Street/Sidewalk 100 JOHNSON STREET JOHNSON STREET,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 107-57 123 STREET 123 STREET,UNSAFE_CROSSWALK
Traffic Signal Condition Vehicle Signal   ,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 54-06 SKILLMAN AVENUE SKILLMAN AVENUE,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 54 STREET 54 STREET,UNSAFE_CROSSWALK
Street Sign - Damaged Other/Unknown Street 43-06 DOUGLASTON PARKWAY DOUGLASTON PARKWAY,MISSING_SIGNAGE
Illegal Parking Blocked Crosswalk Street/Sidewalk 440 MCGUINNESS BOULEVARD MCGUINNESS BOULEVARD,UNSAFE_CROSSWALK
Illegal Parking Blocked Crosswalk Street/Sidewalk 29-25 24 AVENUE 24 AVENUE,UNSAFE_CROSSWALK
Street Light Condition Street Light Out  56-52 196 STREET 196 STREET,POOR_LIGHTING
Traffic Signal Condition Veh Signal Head   ,MISSING_SIGNAGE
